cosine_tfidf,jaccard_tokens,dice_tokens,overlap_unique_tokens,char_len_a,char_len_b,char_len_diff,line_count_a,line_count_b,line_count_diff,token_count_a,token_count_b,token_count_diff,is_clone
0.8569129320046076,0.8974358974358975,0.9459459459459459,0.9459459459459459,419.0,418.0,1.0,13.0,13.0,0.0,84.0,84.0,0.0,0
0.9339135641698717,0.8636363636363636,0.926829268292683,0.95,214.0,236.0,22.0,8.0,8.0,0.0,52.0,55.0,3.0,1
0.8891511544028536,0.7222222222222222,0.8387096774193549,0.896551724137931,260.0,288.0,28.0,12.0,12.0,0.0,74.0,78.0,4.0,0
0.36815041219284744,0.8125,0.896551724137931,0.896551724137931,154.0,161.0,7.0,6.0,6.0,0.0,61.0,60.0,1.0,0
0.7982349108556152,0.6923076923076923,0.8181818181818182,0.8181818181818182,220.0,216.0,4.0,9.0,9.0,0.0,52.0,52.0,0.0,0
0.6889973573620986,0.9,0.9473684210526315,0.9642857142857143,305.0,239.0,66.0,11.0,10.0,1.0,60.0,59.0,1.0,0
0.5323632473519626,0.42857142857142855,0.6,0.6818181818181818,156.0,186.0,30.0,11.0,11.0,0.0,50.0,64.0,14.0,1
0.6091519139149559,0.7391304347826086,0.85,0.85,155.0,142.0,13.0,6.0,7.0,1.0,37.0,29.0,8.0,1
0.1779665175484616,0.5,0.6666666666666666,0.6666666666666666,88.0,74.0,14.0,5.0,5.0,0.0,31.0,26.0,5.0,1
0.8028727279289607,0.875,0.9333333333333333,1.0,343.0,303.0,40.0,8.0,7.0,1.0,82.0,70.0,12.0,1
0.6568840155086,0.7727272727272727,0.8717948717948718,1.0,123.0,177.0,54.0,8.0,10.0,2.0,35.0,45.0,10.0,1
0.9220856630567268,0.9,0.9473684210526315,0.9642857142857143,307.0,307.0,0.0,9.0,9.0,0.0,67.0,67.0,0.0,0
0.8527772317667932,0.7241379310344828,0.84,0.875,398.0,358.0,40.0,13.0,13.0,0.0,118.0,104.0,14.0,1
0.9602621030799935,0.8666666666666667,0.9285714285714286,0.9285714285714286,549.0,557.0,8.0,20.0,20.0,0.0,159.0,159.0,0.0,0
0.39671005792511044,0.7333333333333333,0.8461538461538461,0.8461538461538461,241.0,270.0,29.0,8.0,9.0,1.0,77.0,77.0,0.0,0
0.940026427688488,0.8571428571428571,0.9230769230769231,0.9230769230769231,274.0,279.0,5.0,8.0,8.0,0.0,86.0,86.0,0.0,0
0.8200388456615277,0.7619047619047619,0.8648648648648649,0.8888888888888888,122.0,137.0,15.0,4.0,5.0,1.0,27.0,31.0,4.0,1
0.6701226166964317,0.7419354838709677,0.8518518518518519,0.92,233.0,158.0,75.0,11.0,7.0,4.0,77.0,55.0,22.0,1
0.8319169242064206,0.8571428571428571,0.9230769230769231,0.9230769230769231,203.0,200.0,3.0,6.0,6.0,0.0,45.0,45.0,0.0,0
0.5705247648514389,0.6060606060606061,0.7547169811320755,0.8333333333333334,268.0,205.0,63.0,8.0,7.0,1.0,60.0,58.0,2.0,1
0.9308061724040756,0.7368421052631579,0.8484848484848485,0.9333333333333333,111.0,196.0,85.0,6.0,11.0,5.0,29.0,52.0,23.0,1
0.977555060364331,0.9523809523809523,0.975609756097561,1.0,180.0,178.0,2.0,5.0,6.0,1.0,55.0,54.0,1.0,1
0.7436756058303453,0.7647058823529411,0.8666666666666667,0.8666666666666667,333.0,328.0,5.0,10.0,10.0,0.0,77.0,76.0,1.0,0
0.8456045275558346,0.782608695652174,0.8780487804878049,1.0,113.0,169.0,56.0,3.0,4.0,1.0,33.0,52.0,19.0,1
0.7427387588400906,0.875,0.9333333333333333,1.0,228.0,311.0,83.0,6.0,12.0,6.0,40.0,49.0,9.0,1
0.5087658611696698,0.5263157894736842,0.6896551724137931,0.8695652173913043,458.0,133.0,325.0,22.0,7.0,15.0,124.0,38.0,86.0,1
0.37600862488034137,0.5862068965517241,0.7391304347826086,0.7727272727272727,114.0,161.0,47.0,5.0,8.0,3.0,37.0,48.0,11.0,1
0.7228496898009403,0.68,0.8095238095238095,0.8095238095238095,119.0,135.0,16.0,5.0,5.0,0.0,38.0,54.0,16.0,1
0.3738143195081805,0.7777777777777778,0.875,0.875,114.0,119.0,5.0,5.0,5.0,0.0,24.0,24.0,0.0,0
0.9807696766569028,0.9411764705882353,0.9696969696969697,0.9696969696969697,413.0,423.0,10.0,8.0,8.0,0.0,100.0,100.0,0.0,0
0.8976363723164199,0.8275862068965517,0.9056603773584906,0.9230769230769231,163.0,154.0,9.0,10.0,10.0,0.0,57.0,56.0,1.0,0
0.8294475839025676,0.6428571428571429,0.782608695652174,0.8181818181818182,155.0,142.0,13.0,6.0,3.0,3.0,46.0,50.0,4.0,1
0.3424044677158263,0.4888888888888889,0.6567164179104478,0.6875,275.0,332.0,57.0,13.0,13.0,0.0,74.0,64.0,10.0,1
0.8772026052243785,0.896551724137931,0.9454545454545454,0.9629629629629629,240.0,240.0,0.0,9.0,9.0,0.0,68.0,68.0,0.0,0
0.6062145044576893,0.8888888888888888,0.9411764705882353,0.9411764705882353,302.0,326.0,24.0,14.0,14.0,0.0,76.0,78.0,2.0,0
0.8728959971196542,0.8372093023255814,0.9113924050632911,0.9230769230769231,332.0,329.0,3.0,11.0,10.0,1.0,78.0,76.0,2.0,0
0.9644983070637169,0.92,0.9583333333333334,1.0,169.0,167.0,2.0,10.0,11.0,1.0,53.0,54.0,1.0,1
0.21038477176952539,0.45714285714285713,0.6274509803921569,0.7272727272727273,246.0,208.0,38.0,7.0,14.0,7.0,79.0,79.0,0.0,1
0.3796598163240439,0.5172413793103449,0.6818181818181818,0.75,143.0,153.0,10.0,8.0,6.0,2.0,39.0,42.0,3.0,1
0.9480375911258011,0.9565217391304348,0.9777777777777777,1.0,226.0,236.0,10.0,7.0,7.0,0.0,57.0,59.0,2.0,0
0.8946765238397655,0.782608695652174,0.8780487804878049,0.9473684210526315,175.0,139.0,36.0,9.0,6.0,3.0,41.0,36.0,5.0,1
0.37711042895720526,0.6363636363636364,0.7777777777777778,0.7777777777777778,198.0,254.0,56.0,7.0,7.0,0.0,54.0,58.0,4.0,0
0.9413990191205264,0.9230769230769231,0.96,0.96,189.0,193.0,4.0,8.0,8.0,0.0,53.0,53.0,0.0,0
0.4424930768645702,0.5319148936170213,0.6944444444444444,0.9615384615384616,837.0,312.0,525.0,19.0,6.0,13.0,262.0,67.0,195.0,1
0.9206175564010334,0.9047619047619048,0.95,0.95,180.0,181.0,1.0,5.0,5.0,0.0,55.0,55.0,0.0,0
0.2655950090647144,0.5057471264367817,0.6717557251908397,0.7586206896551724,926.0,752.0,174.0,28.0,17.0,11.0,225.0,148.0,77.0,1
0.8733090727380067,0.8421052631578947,0.9142857142857143,1.0,105.0,120.0,15.0,6.0,6.0,0.0,34.0,43.0,9.0,1
0.5834653201591646,0.8947368421052632,0.9444444444444444,0.9444444444444444,126.0,112.0,14.0,6.0,6.0,0.0,29.0,29.0,0.0,0
0.4120648435220986,0.76,0.8636363636363636,0.8636363636363636,154.0,160.0,6.0,8.0,8.0,0.0,46.0,46.0,0.0,0
0.34679559379038605,0.6346153846153846,0.7764705882352941,0.868421052631579,469.0,564.0,95.0,15.0,28.0,13.0,129.0,130.0,1.0,1
0.3793932558030001,0.4444444444444444,0.6153846153846154,0.6666666666666666,92.0,155.0,63.0,3.0,3.0,0.0,24.0,34.0,10.0,1
0.9792642609102061,0.9310344827586207,0.9642857142857143,0.9642857142857143,266.0,247.0,19.0,13.0,13.0,0.0,78.0,77.0,1.0,0
0.2424713422294149,0.75,0.8571428571428571,0.875,200.0,228.0,28.0,8.0,8.0,0.0,58.0,55.0,3.0,0
0.4272999950915376,0.6451612903225806,0.7843137254901961,0.8,225.0,253.0,28.0,8.0,9.0,1.0,71.0,68.0,3.0,0
0.9305989042342894,0.7631578947368421,0.8656716417910447,0.8787878787878788,350.0,330.0,20.0,12.0,11.0,1.0,101.0,94.0,7.0,1
0.4960961633522514,0.8095238095238095,0.8947368421052632,0.8947368421052632,138.0,130.0,8.0,5.0,5.0,0.0,38.0,38.0,0.0,0
0.9353887062978823,0.8636363636363636,0.926829268292683,0.95,98.0,98.0,0.0,5.0,5.0,0.0,31.0,33.0,2.0,0
0.8049436414968811,0.8846153846153846,0.9387755102040817,1.0,137.0,157.0,20.0,8.0,9.0,1.0,43.0,46.0,3.0,0
0.9669034025766013,0.9166666666666666,0.9565217391304348,1.0,167.0,188.0,21.0,6.0,7.0,1.0,60.0,69.0,9.0,0
0.6031641644991792,0.5405405405405406,0.7017543859649122,0.7407407407407407,363.0,240.0,123.0,12.0,11.0,1.0,82.0,53.0,29.0,1
0.38650798728503033,0.6,0.75,0.782608695652174,476.0,485.0,9.0,11.0,12.0,1.0,153.0,134.0,19.0,1
0.9148222832685875,0.8181818181818182,0.9,0.9,329.0,349.0,20.0,10.0,10.0,0.0,73.0,73.0,0.0,0
0.9162721336198445,0.8260869565217391,0.9047619047619048,0.95,232.0,229.0,3.0,7.0,7.0,0.0,52.0,53.0,1.0,0
0.9912545952017001,1.0,1.0,1.0,436.0,436.0,0.0,18.0,18.0,0.0,100.0,100.0,0.0,0
0.9872094945641259,1.0,1.0,1.0,195.0,195.0,0.0,8.0,8.0,0.0,55.0,57.0,2.0,0
0.5468290211898177,0.5714285714285714,0.7272727272727273,0.9411764705882353,172.0,416.0,244.0,7.0,16.0,9.0,61.0,93.0,32.0,1
0.6932511675280911,0.696969696969697,0.8214285714285714,0.8214285714285714,209.0,204.0,5.0,6.0,6.0,0.0,60.0,53.0,7.0,1
0.9635161080620821,0.9111111111111111,0.9534883720930233,0.9534883720930233,625.0,629.0,4.0,21.0,21.0,0.0,173.0,173.0,0.0,0
0.8505410147008676,0.75,0.8571428571428571,0.9130434782608695,163.0,122.0,41.0,10.0,9.0,1.0,57.0,46.0,11.0,1
0.9686539486738877,0.9444444444444444,0.9714285714285714,0.9714285714285714,377.0,375.0,2.0,18.0,18.0,0.0,87.0,85.0,2.0,0
0.4669532628381677,0.42857142857142855,0.6,0.6818181818181818,117.0,186.0,69.0,7.0,11.0,4.0,38.0,64.0,26.0,1
0.9570956688272007,1.0,1.0,1.0,138.0,138.0,0.0,5.0,5.0,0.0,38.0,38.0,0.0,0
0.7206338772680154,0.7714285714285715,0.8709677419354839,0.8709677419354839,257.0,261.0,4.0,11.0,11.0,0.0,62.0,62.0,0.0,0
0.736217393032489,0.4827586206896552,0.6511627906976745,0.7368421052631579,145.0,153.0,8.0,5.0,5.0,0.0,29.0,38.0,9.0,0
0.4603629176204372,0.4186046511627907,0.5901639344262295,0.6206896551724138,343.0,267.0,76.0,8.0,6.0,2.0,82.0,51.0,31.0,1
0.12960659908481093,0.6428571428571429,0.782608695652174,0.782608695652174,238.0,267.0,29.0,12.0,12.0,0.0,59.0,59.0,0.0,0
0.8765393114253921,0.8148148148148148,0.8979591836734694,0.9166666666666666,151.0,152.0,1.0,5.0,6.0,1.0,42.0,42.0,0.0,1
0.7728170872908469,0.6296296296296297,0.7727272727272727,0.7727272727272727,179.0,169.0,10.0,5.0,5.0,0.0,38.0,35.0,3.0,0
0.7759197014958015,0.6923076923076923,0.8181818181818182,0.8571428571428571,147.0,134.0,13.0,8.0,6.0,2.0,41.0,41.0,0.0,1
0.9333224351982266,0.9130434782608695,0.9545454545454546,0.9545454545454546,136.0,146.0,10.0,6.0,6.0,0.0,40.0,46.0,6.0,1
0.9391314293353823,0.7777777777777778,0.875,0.9333333333333333,554.0,601.0,47.0,15.0,17.0,2.0,126.0,137.0,11.0,0
0.5856835058508663,0.7083333333333334,0.8292682926829268,1.0,136.0,260.0,124.0,6.0,12.0,6.0,32.0,61.0,29.0,1
0.9828067047881303,1.0,1.0,1.0,244.0,229.0,15.0,12.0,12.0,0.0,81.0,81.0,0.0,0
0.964873631041754,0.92,0.9583333333333334,0.9583333333333334,143.0,126.0,17.0,10.0,9.0,1.0,52.0,50.0,2.0,0
0.8093119783239267,0.6956521739130435,0.8205128205128205,1.0,119.0,200.0,81.0,5.0,10.0,5.0,32.0,59.0,27.0,1
0.8983008462498785,0.9152542372881356,0.9557522123893806,0.9642857142857143,721.0,749.0,28.0,20.0,16.0,4.0,233.0,237.0,4.0,1
0.6594130303485964,0.5909090909090909,0.7428571428571429,0.7647058823529411,136.0,125.0,11.0,6.0,5.0,1.0,32.0,32.0,0.0,1
0.7914038977592324,0.9,0.9473684210526315,0.9473684210526315,421.0,440.0,19.0,21.0,21.0,0.0,127.0,127.0,0.0,0
0.9384977114316061,0.9047619047619048,0.95,0.95,215.0,215.0,0.0,9.0,9.0,0.0,61.0,69.0,8.0,0
0.9593312991195532,0.8888888888888888,0.9411764705882353,1.0,128.0,128.0,0.0,6.0,6.0,0.0,34.0,38.0,4.0,0
0.9640923144476266,0.9655172413793104,0.9824561403508771,1.0,169.0,177.0,8.0,9.0,9.0,0.0,42.0,46.0,4.0,0
0.725999109501336,0.8571428571428571,0.9230769230769231,0.96,404.0,195.0,209.0,10.0,3.0,7.0,63.0,51.0,12.0,1
0.9031882675349345,0.92,0.9583333333333334,1.0,198.0,249.0,51.0,7.0,8.0,1.0,48.0,60.0,12.0,0
0.9516009567331916,0.896551724137931,0.9454545454545454,0.9454545454545454,527.0,524.0,3.0,10.0,10.0,0.0,160.0,160.0,0.0,0
