task,model,split,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
clone_type,logistic_regression,val,0.7681632653061224,0.7425381102569157,0.7796054085104502,0.748689632056772,0.8047338383411713,0.7681632653061224,0.7762725202076115
clone_type,logistic_regression,test,0.7540322580645161,0.7391431924882629,0.7814026974951831,0.7390628201775781,0.8092935976071481,0.7540322580645161,0.7637598725836375
clone_type,decision_tree,val,0.7722448979591837,0.741844723990266,0.7741482921656135,0.7496522490094866,0.7998814197491089,0.7722448979591837,0.779305100755964
clone_type,decision_tree,test,0.7653225806451613,0.7355649011138896,0.7683468208092485,0.7427919518772039,0.7953241755824272,0.7653225806451613,0.7728737178071743
