task,model,split,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
is_clone,decision_tree,val,0.8866916087653661,0.8699882263484511,0.884375557424254,0.8761861596396072,0.8905173323455184,0.8866916087653661,0.8877710677581047
is_clone,decision_tree,test,0.8902635825712749,0.8740459209209208,0.8863888996600617,0.8795256199775339,0.8931948691564076,0.8902635825712749,0.8911535758673326
clone_type,decision_tree,val,0.7624489795918368,0.7277592438142897,0.7534024126198577,0.7353486849285169,0.7834241686666326,0.7624489795918368,0.7687401194243931
clone_type,decision_tree,test,0.7645161290322581,0.735260196791802,0.76852408477842,0.742310889443059,0.7954929984633291,0.7645161290322581,0.7722025581208269
